"offer_name","price","mileage_km","fuel_type","transmission","engine_capacity","power","country_of_origin","description","vehicle_brand","vehicle_model","color","production_year","seller_name","seller_type","seller_time_on_site","location","weight_kg","power_num","engine_capacity_num","mileage_km_num","weight_kg_num","years","price_num"
"Renault PREMIUM 320 DXI Kabina 6 Osobowa Firanka Plandeka Sprowadzony","58000","537 000 km","Diesel","Manualna","7 146 cm3","320 KM",NA,"UWAGA!!! ZMIANA ADRESU SIEDZIBY FIRMY na SP TRANS KOPANA 05-555 ALEJA KRAKOWSKA 11 !!!OFERTA LEASINGOWA NA OKRES 24 MIESIĘCY- OPŁATA WSTĘPNA: 11600 PLN NETTO- MIESIĘCZNA RATA: 1772 PLN NETTO- LICZBA RAT: 24- WARTOŚC WYKUPU: 11600 PLN NETTORENAULT PREMIUM 320 DXI, Rok produkcji: 08.2007r. SPROWADZONY, PRZYSTOSOWANY DO NAUKI JAZDY- Przebieg: Udokumentowany, 537 tys. km- Manualna skrzynia biegów 8 biegowa + połówki- DMC: 19000 KG, DMC samochodu z przyczepą: 40000 kg- Ładowność: 9380 kgZABUDOWA:- Firanka- Wymiary: 6.62 x 2.48 x 2.36 wysokości (wymiary w środku)- Zamykana: Drzwiami- Podłoga: Wzmacniana- Winda: Załadowcza, składana i chowana pod spód, marki Zepro, udźwig 1500 kgPODWOZIE:- Rozstaw osi: 5.35 m- Opony: Przód 30%, Tył 90%- Zawieszenie: Tylne pneumatyczne- Aluminiowy zbiornik paliwa- Górny hak do przyczepyKABINA:- XL 6-osobowa, z drugimi drzwiami od strony pasażera umożliwiającymi zajęcie miejsca z tyłu- Dodatkowy komplet pedałów (sprzęgło i hamulec) dla instruktora- Pneumatycznie otwierane i wysuwane stopnie przy otwarciu tylnych drzwi- Klimatyzacja- ASR- System wspomagający ruszanie pod wzniesienia- Elektryczny szyberdach- Elektryczne szyby- Podgrzewane i elektryczne lusterka- Radio CD ze sterowaniem przy kierownicy, komputer pokładowy- Dwu stopniowy hamulec górski, tempomatLINK DO FILMU PREZENTUJĄCEGO AUTO: https://youtu.be/Rbc6PZq8760MOŻLIWOŚĆ SPRAWDZENIA POJAZDU W SERWISIE LUB STACJI DIAGNOSTYCZNEJ.Wykonujemy Dozory Techniczne wind (UDT)Na życzenie klienta wykonujemy pełny serwis olejowy wraz z wymianą wszystkich filtrów oraz legalizację tachografówMożliwość podstawienia przygotowanego samochodu pod wskazany przez klienta adresLeasing , kredyty i ubezpieczenia na miejscu. Procedura uproszczona bez zaświadczeń ZUS , US. Wymagane dokumenty do kredytu tylko NIP , WPIS DO EWID , REGON + 2 dokumenty tożsamości.Dzwoń , zrobimy ofertę to nic nie kosztuje (FINANSOWANIE POJAZDÓW p.Maciek Wiśniewski Wyświetl numer).Cena: 58 tys + VAT-Dodatkowe informacje: liczba miejsc: 6, kraj pochodzenia: Francja, status sprowadzonego: dorejestracji_oplacony, wymiary ładunkowe [m]: 6.62x2.48x2.36Numer oferty: AKL24TR1","Renault","PREMIUM 320 DXI Kabina 6 Osobowa Firanka Plandeka Sprowadzony","Biały",2007,"SPTRANS.PL",NA,"Sprzedający na OTOMOTO od 2007","Usługi finansowe","9380",320,7146,537000,9380,18,58000
"Scania P 270 Firanka Z Zsuwanym Dachem Sprowadzony Euro 4","47000","963 000 km","Diesel","Manualna","8 867 cm3","270 KM",NA,"UWAGA!!! ZMIANA ADRESU SIEDZIBY FIRMY na SP TRANS KOPANA 05-555 ALEJA KRAKOWSKA 11 !!!MOŻLIWY LEASING - SZACUNKOWA OFERTA NA OKRES 3 lat- OPŁATA WSTĘPNA: 9400 PLN NETTO- MIESIĘCZNA RATA: 1239 PLN NETTO- LICZBA RAT: 36- WARTOŚĆ WYKUPU: 470 PLN NETTOSCANIA P270, ROK PRODUKCJI 29.01.2008 , EURO 4 , SPROWADZONY- Przebieg Udokumentowany książką serwisową 963 km- Manualna 6 biegowa Skrzynia biegów- DMC 19000 KG- ŁADOWNOŚĆ 9287 KG-------------------------------------------------------------------------------ZABUDOWA- Firanka z Zsuwanym Dachem- Wymiary: 8.86 x 2.48 x 2.72 m wysokości (wymiary w środku)- Zamykany drzwiami- Podłoga Wzmocniona- Winda marki DHOLLANDIA składana i chowana pod spód o udźwigu 2000 KG-------------------------------------------------------------------------------PODWOZIE- Tylne zawieszenie pneumatyczne na poduszkach- Opony przód 85 %, tył 35 %- Rozstaw osi 5.90 m- Blenda Słoneczna- Halogeny- Spoiler Dachowy-------------------------------------------------------------------------------WYPOSAŻENIE KABINY- KLIMATYZACJA- TC ( Kontrola Trakcji )- Elektryczne szyby- Podgrzewane i elektrycznie ustawiane lusterka- Centralny zamek- Radio CD- Kierownica wielofunkcyjna- Komputer pokładowy- Tempomat-------------------------------------------------------------------------------MOŻLIWOŚĆ SPRAWDZENIA POJAZDU W SERWISIE LUB STACJI DIAGNOSTYCZNEJ.Wykonujemy Dozory Techniczne wind (UDT).Na życzenie klienta wykonujemy pełny serwis olejowy wraz z wymianą wszystkich filtrów oraz legalizację tachografów.Możliwość podstawienia przygotowanego samochodu pod wskazany przez klienta adres.Leasing, kredyty i ubezpieczenia na miejscu. Procedura uproszczona bez zaświadczeń ZUS, US. Wymagane dokumenty do kredytu tylko NIP, WPIS DO EWID, REGON + 2 dokumenty tożsamości.Dzwoń, zrobimy ofertę to nic nie kosztuje (FINANSOWANIE POJAZDÓW p. Maciek Wiśniewski Wyświetl numer ).LINK DO FILMU PREZENTUJĄCEGO AUTO: https://youtu.be/8y3qEnDtjdc .Cena: 47 tys + VAT-Dodatkowe informacje: liczba miejsc: 2, kraj pochodzenia: Francja, status sprowadzonego: dorejestracji_oplacony, wymiary ładunkowe [m]: 8.86x2.48x2.72Numer oferty: AKL24W4J","Scania","P 270 Firanka Z Zsuwanym Dachem Sprowadzony Euro 4","Biały",2008,"SPTRANS.PL",NA,"Sprzedający na OTOMOTO od 2007","Usługi finansowe","9287",270,8867,963000,9287,17,47000
"Renault Midlum 220 DXI Fabryczny ADR Sprowadzony","45000","453 580 km","Diesel","Automatyczna","4 764 cm3","220 KM",NA,"UWAGA!!! ZMIANA ADRESU SIEDZIBY FIRMY na SP TRANS KOPANA, 05-555 ALEJA KRAKOWSKA 11 !!!RENAULT MIDLUM 220 DXI Rok produkcji 07.2010r. FABRYCZNY ADR EX II, EX III, AT, FL, OX SPROWADZONY-Przebieg UDOKUMENTOWANY KSIĄŻKĄ SERWISOWĄ 453580 tys km-DMC: 16 TON- Ładowność 11500 KG-Automatyczna skrzynia biegów----------------------------------------------------------------------PODWOZIE:-Rama pod zabudowę o długości: 5.07 m-Rozstaw osi: 3.80 m- Tylne zawieszenie pneumatyczne na poduszkach- Opony: Przód 20%, Tył 30%----------------------------------------------------------------------KABINA:- Halogeny- Tempomat- Blokada mostu- Elektryczne szyby- Elektrycznie sterowane i podgrzewane lusterka- Retarder 5-stopniowy- Komputer pokładowy----------------------------------------------------------------------LINK DO FILMU PREZENTUJĄCEGO AUTO https://youtu.be/tWaqsknioxE /> .MOŻLIWOŚĆ SPRAWDZENIA POJAZDU W SERWISIE LUB STACJI DIAGNOSTYCZNEJ.W naszej ofercie posiadamy zabudowy, które można zamontować na wyżej zaprezentowany pojazd, np. kontener, burto-firanka, firanka.Na zamówienie możemy również założyć NOWĄ zabudowę specjalistycznąTYPU LAWETA, POMOC DROGOWA z najazdami lub klapą sterowaną hydraulicznie.Leasing , kredyty i ubezpieczenia na miejscu. Procedura uproszczona bez zaświadczeń ZUS , US. Wymagane dokumenty do kredytu tylko NIP , WPIS DO EWID , REGON + 2 dokumenty tożsamości.Dzwoń , zrobimy ofertę to nic nie kosztuje (FINANSOWANIE POJAZDÓW p.Maciek Wiśniewski Wyświetl numer).Cena: 45 tys + VAT-Dodatkowe informacje: liczba miejsc: 2, kraj pochodzenia: Francja, status sprowadzonego: dorejestracji_oplacony, wymiary ładunkowe [m]: 5.07Numer oferty: AKL24SBK","Renault","Midlum 220 DXI Fabryczny ADR Sprowadzony","Biały",2010,"SPTRANS.PL",NA,"Sprzedający na OTOMOTO od 2007","Usługi finansowe","11500",220,4764,453580,11500,15,45000
"DAF XF 480 SSC Lowdeck z Niemiec","129000","516 000 km","Diesel","Automatyczna","12 809 cm3","480 KM",NA,"Do sprzedania posiadam sprowadzony z Niemiec Daf XF SSC  480Rok prod  2019r516.000kmXenony Lodówka Klimatyzacja stacjonarna Cena 129.000 zł  ( 30.200 €)NETTOOkolice Radomia Tel Wyświetl numer lub Wyświetl numer","DAF","XF 480 SSC Lowdeck z Niemiec","Biały",2019,"PHTU-Bartek",NA,"Sprzedający na OTOMOTO od 2010","poniedziałek8:30 - 19:00wtorek8:30 - 19:30środa8:00 - 20:00czwartek08:00 - 19:00piątek08:00 - 19:00sobota09:00 - 20:00niedziela10:00 - 16:00Znajdź na mapieKOWALA KOLONIA ul radomska 88 - 26-624 Kowala, radomski, Mazowieckie (Polska)","35000",480,12809,516000,35000,6,129000
"Mercedes-Benz Actros 6x6 3341 Hydroburta Burtmatic wywrotka Meiller kiper trzystronny z Niemiec","199000","450 000 km","Diesel","Manualna","11 946 cm3","410 KM",NA,"Mercedes Actros 3341 6x6Silnik 11946 cm 410kmAuto sprowadzone z Niemiec stan techniczny idealnyWywrotka trzystronna Meiller z hydroburtaTel Wyświetl numer","Mercedes-Benz","Actros 6x6 3341 Hydroburta Burtmatic wywrotka Meiller kiper trzystronny z Niemiec","Czerwony",2006,"ERAL Robert Szczygielski",NA,"Sprzedający na OTOMOTO od 2018","Zobacz więcej ofert (42) tego sprzedawcyZnajdź na mapieNatolin 10 - 26-613 Radom, Mazowieckie (Polska)","20000",410,11946,450000,20000,19,199000
"MAN TGM","85900","336 411 km","Diesel","Manualna","6 871 cm3","290 KM",NA,"Auto w b dobrym stanie przód tył na poduszkach skrzynia manualna opony 60% silnik pracuje ładnie pali na dotyk skrzynia 8 biegowa klimatyzacja winda Bar aluminiowa kontener 7,45x2,48x2,65","MAN","TGM","Niebieski",2014,"ROBERT","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Mszczonów, żyrardowski, Mazowieckie","8600",290,6871,336411,8600,11,85900
"MAN CIĄGNIK SIODŁOWY MAN TGS 18.400 z Niemiec","66000","568 920 km","Diesel","Manualna",NA,"400 KM","Niemcy","Samochód sprowadzony z Niemiec , oryginalnie przejechane 568920 km , serwisowany , hydraulika , aluminiowe felgi , stan BDB , podana cena jest na EXSPORT w kraju plus vat 23%","MAN","CIĄGNIK SIODŁOWY MAN TGS 18.400 z Niemiec","Biały",2009,"ZAKŁAD USŁUGOWO - HANDLOWY TRANSTAR",NA,"Sprzedający na OTOMOTO od 2013","Zobacz więcej ofert (42) tego sprzedawcyZnajdź na mapieCZERMNO 58A - 09-530 Czermno, płocki, Mazowieckie (Polska)",NA,400,NA,568920,NA,16,66000
"Mercedes-Benz ACTROS 1841 HDS 4X4 z Niemiec","189000","364 860 km","Diesel",NA,NA,NA,"Niemcy","Samochód sprowadzony z Niemiec , napęd 4X4 , HDS PALFINGER PK 10000 , 3 strony wywrot Meiller-Kipper , ważny dozór UDT , stan BDB , cena na Export","Mercedes-Benz","ACTROS 1841 HDS 4X4 z Niemiec","Biały",2006,"ZAKŁAD USŁUGOWO - HANDLOWY TRANSTAR",NA,"Sprzedający na OTOMOTO od 2013","Zobacz więcej ofert (42) tego sprzedawcyZnajdź na mapieCZERMNO 58A - 09-530 Czermno, płocki, Mazowieckie (Polska)",NA,NA,NA,364860,NA,19,189000
"Mercedes-Benz ACTROS 1844 z Niemiec 4X4","186000","536 100 km","Diesel",NA,NA,"440 KM",NA,"Samochód sprowadzony z Niemiec , napęd 4x4 , 3 stronny MEILLER-KIPPER , stan BDB , podana cena jest na Export w kraju plus podatek VAT","Mercedes-Benz","ACTROS 1844 z Niemiec 4X4","Czerwony",2011,"ZAKŁAD USŁUGOWO - HANDLOWY TRANSTAR",NA,"Sprzedający na OTOMOTO od 2013","Zobacz więcej ofert (42) tego sprzedawcyZnajdź na mapieCZERMNO 58A - 09-530 Czermno, płocki, Mazowieckie (Polska)",NA,440,NA,536100,NA,14,186000
"Mercedes-Benz Actros 1844 wywrotka 4x4 kiper Meiller mały przebieg","209000","400 000 km","Diesel","Manualna","11 946 cm3","440 KM",NA,"Marcedes Actros 1844Wywrotka 4x4 Meiler Kipersilnik 11946 cm3 440km Euro 5Auto nie esploatowane w kraju stan techniczny idealnySkrzynia biegów manualnaTel Wyświetl numer","Mercedes-Benz","Actros 1844 wywrotka 4x4 kiper Meiller mały przebieg","Pomarańczowy",2012,"ERAL Robert Szczygielski",NA,"Sprzedający na OTOMOTO od 2018","Zobacz więcej ofert (42) tego sprzedawcyZnajdź na mapieNatolin 10 - 26-613 Radom, Mazowieckie (Polska)","18000",440,11946,400000,18000,13,209000
"Iveco Eurocargo","45000","480 000 km","Diesel","Manualna","6 000 cm3",NA,"Szwajcaria","Auto 100% sprawne technicznie , bez wkładu finansowego , gotowe do pracy od teraz.Auto masa DMC 7500 TZestaw masa DMC 12000 TMam również 3-przyczepy do wyboru.","Iveco","Eurocargo","Czerwony",2010,"SK","Osoba prywatna","Sprzedający na OTOMOTO od 2023","Nowy Puznów, garwoliński, Mazowieckie","3500",NA,6000,480000,3500,15,45000
"DAF XF 440 BDF","78597","663 723 km","Diesel","Automatyczna","10 837 cm3","440 KM","Niemcy","Daf XF 440, BDF,przebieg: 663 700rok produkcji: 2016-ogrzewanie postojowe-klima postojowa-2 zaczepy-ALU FELGI-RAMA BDF-skrzynia automatyczna-Auto w pełni sprawne gotowe do jazdyOpony: 315/80/R22.5/80%Po więcej informacji prosze kontaktować się telefoncznie","DAF","XF 440 BDF","Niebieski",2016,"Robert","Osoba prywatna","Sprzedający na OTOMOTO od 2023","Kowala, radomski, Mazowieckie",NA,440,10837,663723,NA,9,78597
"Iveco Daily 35S18","141450","305 000 km","Diesel","Automatyczna","2 998 cm3","180 KM",NA,"Autolaweta była wynajmowana, kilka razy była wymieniana przednia szyba, raz maska. Ostatnio wymieniony akumulator.Jest po pełnym przeglądzie z wymianą oleju.Opony zimowe, tachograf.Wystawiam fakturę VAT, laweta jest środkiem trwałym w działalności.Iveco DailyTyp: 35S18HA8Silnik Euro 6: 3.0 litry 180 KMSkrzynia biegów: automatyczna 8-biegowaRok produkcji: 2021Rozstaw osi: 4100 - pojedyncze koła tylnej osiDopuszczalna masa całkowita: 3500 kgRodzaj pojazdu: ciężarowyWyposażenie:Pełne światła LED (dzienne, mijania, drogowe)Klimatyzacja automatycznaFotel kierowcy amortyzowany, pełna regulacja (kąt oparcia, odsunięcie, wysokość i pochylenie siedziska - 4 stopnie), podparcie lędźwiowe, podłokietnikRadio cyfrowe DAB z MP3, sterowanie przy kierownicy, Bluetooth, wejścia USB/AUX, komunikacyjna ze smartfonem (aplikacja)Wielofunkcyjna kierownica pokryta skórą, regulacja kolumny kierowniczej w dwóch płaszczyznachŁawka pasażerów stała 2-osobowa z rozkładanym stolikiem, pasy bezpieczeństwa 3-punktowe, zabudowany schowekŚwiatła przeciwmgłowe przednieTempomatUchwyt centralny na dokumenty i smartfon/tablet 4-10 cali z gniazdem ładowania USBKolorowy wyświetlacz centralny TFT (km/h)Koło zapasowe w wysuwnym koszu pod tylnym zwisem pojazduZbiornik paliwa profilowany z tworzywa sztucznego 100 l, wlew w słupku B (strona lewa)Dodatkowy nastawny załączany ogranicznik prędkościZłącze do zabudowy podstawowePodwójne resory paraboliczne tylne o małym ugięciu, wzmacniane dla modeli STachograf cyfrowy DTCO 4.0Zabudowa: platforma do transportu pojazdów (Autolaweta)Wymiary zabudowy:Długość zewnętrzna platformy około 4950 mmSzerokość zewnętrzna platformy około 2110 mmWyposażenie standardowe:Konstrukcja nadwozia wykonana ze specjalistycznych zespawanych ze sobą kształtowników aluminiowychPodłoga oraz część jezdna wykonana z przeciwpoślizgowych, przetłaczanych i otworowanych paneli aluminiowych, otwory zabezpieczone nierdzewną wkładkąTrapy wjazdowe - aluminiowe, przeciwpoślizgowe, szer. 340 mm, dł. 2500 mm montowane w szufladach, które umożliwiają swobodny przesuw najazdów po całej szerokości tylnej belki, zabezpieczone manualnym automatem centralnie ryglującymStelaż wyciągarki - przesuwny na łożyskach ślizgowych, manualnyReling przedni ze skosem aerodynamicznym po obrysie kabiny do wysokości podszybia z zamontowaną kulą do transportu przyczepyOsłona antyrowerowa przód podwójna, tył pojedynczaBłotniki z chlapaczami - 2 sztukiHak holowniczySkrzynki narzędziowe 600 mm - 2 sztukiBoki, reling, tylny panel oświetleniowy oraz osłony antyrowerowe, lakierowane wg. podwoziaLakierowane krawędzie nadwozia zabezpieczone aluminiowym kątownikiemDodatkowe uchwyty w podłodze do mocowania pasów - 8 sztukInstalacja elektryczna:Tylne oświetlenie zamontowane z podwozia pojazdu bazowegoOświetlenie pozycyjne boczne, pomarańczowe LED - 6 sztukOświetlenie pozycyjne obrysowe biało-czerwone LED - 2 sztukiPrzyłącze elektryczne przyczepy - 2 sztuki/moduł 13/7pin/Światła robocze H3 montowane na relingu przednim - 2 sztukiWyposażenie dodatkowe:Wyciągarka elektryczna SUPER WINCH TS9500 - 4,2 t","Iveco","Daily 35S18","Czerwony",2021,"Patrycja","Osoba prywatna","Sprzedający na OTOMOTO od 2024","Warszawa, Białołęka","1180",180,2998,305000,1180,4,141450
"DAF XF 460 FT","93480","877 000 km","Diesel","Automatyczna","12 902 cm3","460 KM","Polska","Pierwszy właściciel.Auto kupione od polskiego dilera.Serwisowane głównie w DAF Wolica, posiadają historię serwisową.Zbiornik paliwa 845L+430LLodówkaWebasto(naprawiany pełny wkład palnik wentylator)SeparatorAktywny tempomatWspomaganie ruszania pod wzniesieniaKlimatyzacja postojowaNowe opony tyłOpony przód stan dobry jak na zdjęciach.Wymieniono komplet wtryskiwaczy w tym 3 przy przebiegu około 790tys. do potwierdzenia z fakturąSprzęgło przy około 670tys.Oprócz ostrzeżenia zużycia klocków, które będą wymieniane, brak błędów.Auto w ciągłej eksploatacji po kraju.","DAF","XF 460 FT","Biały",2016,"Konrad","Osoba prywatna","Sprzedający na OTOMOTO od 2019","Kołbiel, otwocki, Mazowieckie",NA,460,12902,877000,NA,9,93480
"Scania R520","266000","960 000 km","Diesel","Automatyczna",NA,"520 KM","Dania","Scania R520 w bardzo dobrym stanie,2014 rok.przebieg 960000 km,plandeka na pilota ,burty pneumatycznie otwierane Cena 266000 zł,Pompa do traktoru cena 36000 zł.pompa do samochodu 16000 zł.Tel Wyświetl numer.Volvo 2014,560000km,Cena 331000 zł.Super stan.","Scania","R520","Czerwony",2014,"Adam","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Mińsk Mazowiecki, miński, Mazowieckie",NA,520,NA,960000,NA,11,266000
"MAN 26420","451000","205 000 km","Diesel","Automatyczna",NA,"420 KM","Niemcy","Man w idealnym stanie technicznym i wizualnym .zbiornik Esterer 4 komory,,7310-3040-3690-6380 układ wydawczy Sening,dwa zwijadła ,licznik MultiFlow ,Więcej info na tel Wyświetl numer .Man 2012 czerwony.przebieg 605000,Cena 231000 zł","MAN","26420","Biały",2017,"Adam","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Mińsk Mazowiecki, miński, Mazowieckie",NA,420,NA,205000,NA,8,451000
"Krone 9.500zł netto KONTENER BDF 7.45x2.60m STALOWY ZAMYKANY ROLETĄ IDEALNY NA GARAŻ MAGAZYN MOŻLIWOŚĆ TRANSPORT","11685","1 000 km","Diesel",NA,NA,NA,NA,"ZABUDOWA: - KRONE  BDF  - KONTENER STALOWY - ROLETA TYŁ  - sprowadzony - rok produkcji 2000 - wymiary wewnętrzne 7.30x2.48x wysokość pod roletą 2.60 - 18 EURO- PALET, - idealny na garaż magazyn  - możliwość transportu, - FAKTURA 9.500zł netto +23% VAT - w ofercie również inne przyczepy, zabudowy, izotermy ,tandemy - pełna oferta na naszej stronie www.fuhmirek.otomoto.pl - tel. 0502-964-709 lub 0604-800-610 !!! - FUH MIREK","Krone","9.500zł netto KONTENER BDF 7.45x2.60m STALOWY ZAMYKANY ROLETĄ IDEALNY NA GARAŻ MAGAZYN MOŻLIWOŚĆ TRANSPORT","Biały",2000,"FUH MIREK",NA,"Sprzedający na OTOMOTO od 2012","poniedziałek9:00 - 17:00wtorek9:00 - 18:00środa9:00 - 18:00czwartek9:00 - 18:00piątek9:00 - 18:00sobota9:00 - 14:00niedzielaZamknięteZnajdź na mapieJedlanka ul. Warszawska trasa S7 Radom- Warszawa 1 - 26-660 Jedlanka, radomski, Mazowieckie (Polska)",NA,NA,NA,1000,NA,25,11685
"Krone 13.500zł netto KRONE BDF 7.80m BURTOWA ZABUDOWA 2011rok ST.BDB MOŻLIWOŚĆ TRANSPORTU","16605","1 000 km","Diesel",NA,NA,NA,NA,"ZABUDOWA:-  BDF KRONE- BURTOWA- sprowadzone- rok produkcji 2011- haki w podłodze,- wymiary wewnętrzne 7.70x2.48 burty 75cm- 19 EURO- PALET,- st. BDB- idealnie nadają się również do stałego montażu- możliwość transportu,- FAKTURA 13.500zł netto +23% VAT- pełna oferta na naszej stronie www.fuhmirek.otomoto.pl- tel. 0502-964-709 lub 0604-800-610 !!!- FUH MIREK","Krone","13.500zł netto KRONE BDF 7.80m BURTOWA ZABUDOWA 2011rok ST.BDB MOŻLIWOŚĆ TRANSPORTU","Biały",2011,"FUH MIREK",NA,"Sprzedający na OTOMOTO od 2012","poniedziałek9:00 - 17:00wtorek9:00 - 18:00środa9:00 - 18:00czwartek9:00 - 18:00piątek9:00 - 18:00sobota9:00 - 14:00niedzielaZamknięteZnajdź na mapieJedlanka ul. Warszawska trasa S7 Radom- Warszawa 1 - 26-660 Jedlanka, radomski, Mazowieckie (Polska)",NA,NA,NA,1000,NA,14,16605
"Krone 12.500zł netto KONTENER/ZABUDOWA 7.45x2.60M BDF STALOWY GARAŻ MAGAZYN ZAMYKANY DRZWIAMI MOŻLIWOŚĆ TRANSPORT ST.BDB","15375","1 000 km","Diesel",NA,NA,NA,"Niemcy","ZABUDOWA: - BDF KRONE  - KONTENER STALOWY - ZAMYKANY DRZWIAMI - sprowadzony - rok produkcji 2004 - wymiary wewnętrzne 7.30x2.48x wysokość 2.60 - 18 EURO- PALET, - st. BDB  - idealnie nadaje się na garaż magazyn - możliwość transportu, - FAKTURA 12.500zł netto +23% VAT - FUH MIREK","Krone","12.500zł netto KONTENER/ZABUDOWA 7.45x2.60M BDF STALOWY GARAŻ MAGAZYN ZAMYKANY DRZWIAMI MOŻLIWOŚĆ TRANSPORT ST.BDB","Żółty",2004,"FUH MIREK",NA,"Sprzedający na OTOMOTO od 2012","poniedziałek9:00 - 17:00wtorek9:00 - 18:00środa9:00 - 18:00czwartek9:00 - 18:00piątek9:00 - 18:00sobota9:00 - 14:00niedzielaZamknięteZnajdź na mapieJedlanka ul. Warszawska trasa S7 Radom- Warszawa 1 - 26-660 Jedlanka, radomski, Mazowieckie (Polska)",NA,NA,NA,1000,NA,21,15375
"Krone 4x17.500zł netto ZABUDOWA KRONE 2013ROK BDF 7.45x2.50 BURTO- FIRANKA  DRZWI st.bdb","21525","1 000 km","Diesel",NA,NA,NA,NA,"4xZABUDOWA: 17.500zł netto- BDF KRONE- BURTO-FIRANKA- sprowadzona,- rok produkcji 2013- uchwyty do mocowania ładunku,- wymiary wewnętrzne 7.30x2.48 wysokość 2.44- 18 EURO- PALET- st. bdb- możliwość transportu,- pełna oferta na naszej stronie www.fuhmirek.otomoto.pl- tel. 0502-964-709 lub 0604-800-610 !!!- FUH MIREK","Krone","4x17.500zł netto ZABUDOWA KRONE 2013ROK BDF 7.45x2.50 BURTO- FIRANKA  DRZWI st.bdb","Biały",2013,"FUH MIREK",NA,"Sprzedający na OTOMOTO od 2012","poniedziałek9:00 - 17:00wtorek9:00 - 18:00środa9:00 - 18:00czwartek9:00 - 18:00piątek9:00 - 18:00sobota9:00 - 14:00niedzielaZamknięteZnajdź na mapieJedlanka ul. Warszawska trasa S7 Radom- Warszawa 1 - 26-660 Jedlanka, radomski, Mazowieckie (Polska)",NA,NA,NA,1000,NA,12,21525
"Mercedes-Benz Antos","520000","464 000 km","Diesel","Automatyczna",NA,"430 KM","Niemcy","Podwozie: MB Antos 2543 L (Euro6)Moc: 315 kW (430 KM)Klasa : Euro6, AdBluePierwsza rejestracja: 10.07.2019Przebieg: ok. 464.406 kmDMC: 26 000 kgCiężar: 10 765 kgZawieszenie: Przód: zawieszenie piórowe / Tył: zawieszenie pneumatyczneRozstaw osi: 4.000 mm-automat Mercedes PowerShift 3– Oś wleczona, 7,5 t, kierowana, podnoszona– Retarder–– Tempomat– Klimatyzacja– Radio CD– Kierownica wielofunkcyjna– Osłona przeciwsłoneczna – Sprzęg przyczepy– Asystentutrzymania pasa ruchu - Attention Assist- Aktywny asystenthamowania ... i wiele więcejzbiornik: Esterer TW26.200Zawartość: 20 130 litrów, 2 komoryDopuszczony do: - UN1202, olej napędowy, olej opałowy ELPompa: Sening beta-2 (pompa Kreisel)Układ pomiarowy: Sening GMVT 800 MIDKomputer: Sening, drukarka MultiFloww pojeździe przed siedzeniem pasażeraZabezpieczenie wypełnienia: Bezprzewodowe zabezpieczenie przed napełnieniem i zdalne sterowanieFabr. Sening typu MultiControl IIIBęben na wąż: między kabiną a zbiornikiem, ok. 60 m DN 38Wypełnienie dolne: 2 Złącza APIZmierzony pusty wąż: 800 l/minEksploatacja przyczepy: - Przyłącze do opróżniania przyczepy z suchym sprzęglem MANN- Opróżnianie zawartościprzyczepy - Samoczynne napełnianie z przyczepyInne funkcje: - 3 reflektory jako oświetlenie ambientowe po prawej stronie (LED)- 1 reflektor jako oświetlenie ambientowe po lewej stronie z przodu (LED)- Pilot radiowy- 2 dodatkowe tylne światła LED z tyłu zbiornika u góry- Szafa kontenerowa tylna prawa- Szafa kontenerowa tylna lewa- System wideo z tyłu","Mercedes-Benz","Antos","Pomarańczowy",2019,"Adam","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Mińsk Mazowiecki, miński, Mazowieckie",NA,430,NA,464000,NA,6,520000
"Setra S 431 DT","589999","983 759 km","Diesel","Automatyczna","15 928 cm3","510 KM",NA,"Na sprzedaż autokar Setra S 431 DT 2011Oferuję na sprzedaż autokar Setra S 431 DT z 2011 roku, spełniający normy emisji spalin Euro 5. Autokar wyposażony jest w automatyczną skrzynię biegów i posiada 82 miejsca siedzące.Specyfikacja pojazdu:- Rok produkcji: 2011- Silnik: Euro 5- Skrzynia biegów: Automatyczna- Liczba miejsc: 82- Przebieg: 983 759 km- Cena: 589 999 PLN netto- Stan: Bardzo dobryDostępne formy finansowania:- Leasing- Wynajem- Wynajem z wykupem- Kredyt- UbezpieczenieKontakt:- Telefon: Wyświetl numer- Email: biuro@genomar. pl- Lokalizacja: ul. Warszawska 31, 96-321 Nowa Bukówka / WarszawaZapraszam do kontaktu! Oferta ma charakter informacyjny – szczegółowa oferta handlowa dostępna po kontakcie z ogłoszeniodawcą.","Setra","S 431 DT","Biały",2011,"Genomar sp. z o.o. - sprzedaż i wynajem pojazdów",NA,"Sprzedający na OTOMOTO od 2020","poniedziałek09:00 - 18:00wtorek09:00 - 18:00środa09:00 - 18:00czwartek09:00 - 18:00piątek09:00 - 18:00sobota09:00 - 16:00niedziela10:00 - 15:00Znajdź na mapieJosepha Conrada - 01-922 Warszawa, Mazowieckie (Polska)",NA,510,15928,983759,NA,14,589999
